"","PU_1Km_ID","raw_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_score","coral_rank","coral_hotspot"
"184",32254,4.1808451945948e-07,"(11) Mainland Fjords",8326,54.30871111,58.2168,0,0,3,0,3.81144327281384e-07,1,0
"185",32444,5.40895652124113e-08,"(13) Eastern Queen Charlotte Sound",8312,30.3,30.3,0,0,2,0,4.93104384072396e-08,1,0
"186",32460,1.23441569225863e-05,"(11) Mainland Fjords",8316,27,27,1,0,0,0,1.12534790625535e-05,6,0
"187",32469,1.36155460175469e-05,"(11) Mainland Fjords",8318,27,30,2,0,0,0,1.24125335569369e-05,7,0
"188",32472,1.25607858521781e-05,"(11) Mainland Fjords",8326,32.0625,41,1,0,2,0,1.14509675697713e-05,6,0
"189",32675,2.09375976947472e-05,"(11) Mainland Fjords",8473,18,18,1,0,0,0,1.90876395006683e-05,9,1
"190",32676,9.52250009961217e-06,"(11) Mainland Fjords",8473,31,31,1,0,0,0,8.68113198545576e-06,4,0
"191",32688,1.23441569225863e-05,"(11) Mainland Fjords",8476,27,27,1,0,0,0,1.12534790625535e-05,6,0
"192",32691,9.12559411836447e-06,"(11) Mainland Fjords",8484,58.85,87.7,1,0,1,0,8.31929494969994e-06,4,0
"193",32908,1.27587970884724e-06,"(11) Mainland Fjords",8476,43.0946054698148,75.7,6,0,7,0,1.16314833648769e-06,3,0
"194",33104,5.26019935318354e-08,"(13) Eastern Queen Charlotte Sound",8470,28.19229876,29.60147059,0,0,2,0,4.79543023125357e-08,1,0
"195",33114,1.01666186182427e-05,"(11) Mainland Fjords",8473,30,30,1,0,0,0,9.26833889708767e-06,5,0
"196",33117,6.73335297014576e-05,"(11) Mainland Fjords",8473,25.75,29,2,0,0,0,6.13842218188861e-05,9,1
"197",33128,1.49400619876955e-05,"(11) Mainland Fjords",8476,24,24,1,0,0,0,1.36200208589504e-05,8,0
"198",33320,1.04369962481154e-05,"(13) Eastern Queen Charlotte Sound",8470,25.5,31,2,0,0,0,9.51482709517498e-06,5,0
"199",33323,4.62649162541695e-06,"(13) Eastern Queen Charlotte Sound",8470,35.5456474575,45.58367347,3,0,3,0,4.21771425673033e-06,3,0
"200",33332,0.000555356962764639,"(11) Mainland Fjords",8473,25.5,28,2,0,0,0,0.00050628795404245,10,1
"201",33335,0.000197597386305159,"(11) Mainland Fjords",8473,29,29,1,0,0,0,0.000180138511163264,10,1
"202",33537,8.0412463202017e-06,"(13) Eastern Queen Charlotte Sound",8628,29,34,2,0,0,0,7.33075556870558e-06,3,0
"203",33541,1.01666186182427e-05,"(11) Mainland Fjords",8629,30,30,1,0,0,0,9.26833889708767e-06,5,0
"204",33553,1.40239365625063e-05,"(11) Mainland Fjords",8632,25,25,1,0,0,0,1.27848404285902e-05,8,0
"205",33562,1.01666186182427e-05,"(11) Mainland Fjords",8634,30,30,1,0,0,0,9.26833889708767e-06,5,0
"206",33752,7.68194098075223e-05,"(13) Eastern Queen Charlotte Sound",8628,27,27,1,0,0,0,7.00319693996197e-05,10,1
"207",33758,1.59108084888256e-05,"(11) Mainland Fjords",8629,23,23,1,0,0,0,1.45049962763907e-05,9,1
"208",33760,9.06920701148134e-07,"(11) Mainland Fjords",8630,93.7896418775,115.9285714,0,0,4,0,8.2678899707543e-07,2,0
"209",33767,1.3111591269277e-05,"(11) Mainland Fjords",8632,28.5,32,2,0,0,0,1.19531061336066e-05,7,0
